,Affiliate,Age,Height,Weight,Sprint 400m,Clean & Jerk,Snatch,Deadlift,Back Squat,Max Pull-ups
Yunus Emre Ilhan,Antrum CrossFit,21.0,6.0,171.0,--,264.0,231.0,418.0,363.0,0.0
Chase Heywood,Rockwell CrossFit,34.0,70.0,191.0,0:00,340.0,260.0,535.0,485.0,56.0
David Barnett,CrossFit Lubbock,29.0,72.0,195.0,1:04,320.0,255.0,460.0,430.0,41.0
Tehau Yves,CrossFit Varua,25.0,7.0,171.0,--,310.0,245.0,551.0,365.0,65.0
Isaac Dillon,Raza CrossFit,23.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Rob Miller,CrossFit Santa Cruz,31.0,71.0,205.0,0:00,308.0,275.0,485.0,440.0,0.0
Cole Armstrong,CrossFit Infinite Strength,22.0,68.0,175.0,--,330.0,250.0,0.0,385.0,0.0
Taylor Myers,The Claw CrossFit,25.0,73.0,210.0,--,310.0,235.0,475.0,425.0,67.0
Brandon Brickner,CrossFit Midlo,25.0,66.0,155.0,1:03,275.0,237.0,405.0,357.0,53.0
Richard Berreth,CrossFit Argyle,19.0,67.0,175.0,1:10,305.0,235.0,455.0,450.0,53.0
Peter Kazanas,Peak 360 CrossFit,40.0,70.0,190.0,1:14,318.0,250.0,543.0,427.0,0.0
Brandon Rodick,CrossFit Humble Beginnings,29.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Jake Neubauer,CrossFit Anywhere,35.0,69.0,195.0,0:56,315.0,250.0,500.0,435.0,55.0
Jandro Suarez,BluePrint CrossFit,32.0,65.0,161.0,0:00,235.0,165.0,405.0,325.0,50.0
Peter Galloup,8th Day CrossFit,22.0,72.0,190.0,0:00,0.0,0.0,0.0,0.0,0.0
Nathan Benavides,Odessa Black CrossFit,27.0,65.0,153.0,--,280.0,225.0,405.0,405.0,0.0
Christopher Miller,Crofton CrossFit,24.0,6.0,193.0,--,315.0,255.0,525.0,435.0,62.0
Dillon Betancourt,CrossFit Soul Miami,29.0,70.0,199.0,--,319.0,253.0,535.0,455.0,0.0
James H Kim,CrossFit Kingstowne,27.0,68.0,172.0,--,275.0,225.0,435.0,425.0,50.0
Benjamin Swedish,CrossFit Spot,28.0,70.0,200.0,--,295.0,215.0,415.0,390.0,0.0
Matthias Turner,CrossFit Torian,27.0,7.0,195.0,--,260.0,220.0,440.0,341.0,0.0
Owen Bernstein,Reebok CrossFit Back Bay,21.0,68.0,178.0,1:12,300.0,245.0,485.0,420.0,0.0
Henry Kulla,CrossFit Kreis 9,27.0,7.0,215.0,0:57,285.0,237.0,555.0,385.0,0.0
Dustin Edwards,Unaffiliated,29.0,71.0,185.0,1:04,275.0,225.0,485.0,365.0,63.0
Travis Schliesser,Thorbeckes CrossFit,30.0,70.0,187.0,1:10,315.0,275.0,460.0,405.0,0.0
Kai Braden,Depot CrossFit HW,28.0,68.0,146.0,1:11,240.0,200.0,435.0,345.0,25.0
Barrett Danz,CrossFit Big Dane,28.0,71.0,200.0,0:58,325.0,255.0,535.0,445.0,0.0
David Rodriguez,CrossFit Reston,29.0,68.0,180.0,--,305.0,227.0,0.0,380.0,0.0
Cody Thompson,CrossFit Intrigue,25.0,68.0,170.0,1:01,300.0,245.0,500.0,415.0,0.0
James Wozniak,Unaffiliated,28.0,66.0,160.0,0:00,305.0,235.0,515.0,425.0,55.0
Nicholas Burton,Advanced Performance CrossFit,28.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Joe Poyma,Comanche CrossFit,28.0,69.0,182.0,--,275.0,215.0,455.0,395.0,0.0
Robert Garcia,Alpine CrossFit,24.0,60.0,185.0,--,305.0,195.0,415.0,365.0,51.0
Ryan Hewitt,CrossFit Route 1,37.0,71.0,195.0,0:00,285.0,215.0,475.0,380.0,54.0
Roberto Gutierrez,RADD CrossFit NSLI,33.0,68.0,185.0,0:00,300.0,245.0,435.0,375.0,45.0
Eriks Selickis,CrossFit 4 Life,26.0,0.0,190.0,--,0.0,0.0,0.0,0.0,0.0
Ricky Redus,CrossFit Jaakarhu,23.0,70.0,205.0,0:54,385.0,305.0,565.0,505.0,55.0
Darryl McNeil,TAS CrossFit,25.0,72.0,198.0,--,305.0,250.0,455.0,365.0,60.0
Joshua Schram,CrossFit Cambridge,26.0,74.0,200.0,--,285.0,235.0,515.0,400.0,0.0
Craig Jones,CrossFit North Charleston,31.0,72.0,216.0,0:00,0.0,0.0,0.0,0.0,0.0
James Burns,CrossFit Exe,21.0,6.0,182.0,0:00,0.0,0.0,0.0,0.0,0.0
ryan peterson,CrossFit Jetty,28.0,0.0,195.0,--,0.0,0.0,0.0,0.0,0.0
Stephane Ossanga,,26.0,6.0,193.0,1:00,313.0,244.0,551.0,440.0,65.0
Piotr Kaleta,CrossFit Active Artarmon,30.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Ryan Alec Chavez,CrossFit 915,27.0,70.0,177.0,0:59,300.0,225.0,435.0,350.0,0.0
Rubén Insua,CrossFit Salnes,31.0,6.0,158.0,--,0.0,0.0,496.0,363.0,0.0
Spencer Whiteley,CrossFit Blockhouse,38.0,68.0,171.0,1:06,291.0,233.0,462.0,407.0,45.0
Julian Marquez,CrossFit Power Grid,30.0,72.0,190.0,0:00,0.0,0.0,0.0,0.0,0.0
Thomas Pichler,CrossFit Boss,30.0,6.0,143.0,--,0.0,0.0,0.0,0.0,0.0
Andrew Ciantar,CrossFit Plymouth MI,29.0,0.0,160.0,--,0.0,0.0,0.0,0.0,0.0
Jozef Porubsky,CrossFit Nitra,28.0,0.0,198.0,--,0.0,0.0,0.0,0.0,0.0
Bastiaan Rejen,CrossFit Apeldoorn,40.0,7.0,191.0,0:00,264.0,231.0,418.0,352.0,45.0
Phedias Demou,CrossFit Hackney,25.0,7.0,191.0,--,0.0,0.0,0.0,0.0,0.0
Graham McCann,FFD CrossFit,29.0,70.0,191.0,--,286.0,231.0,473.0,335.0,47.0
Adam Yelland,CrossFit SA1,33.0,0.0,191.0,--,0.0,0.0,0.0,0.0,0.0
