,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
25107,Dana Lynch,I-Women,10221,1541,105,1819,61,4006,288,2505,243,783,100,1108
13098,Kristen Smith,I-Women,10227,1542,116,387,63,3316,267,3897,241,1152,95,1475
27389,Stephanie Hillis,I-Women,10228,1543,101,2921,60,4558,384,291,240,1414,101,1044
27856,Vicki Kenney,I-Women,10231,1544,117,328,60,4558,295,2287,240,1414,92,1644
6474,Katie Crowe,I-Women,10240,1545,106,1604,60,4558,319,1359,242,962,90,1757
4130,Michelle Knowland,I-Women,10243,1546,105,1819,63,3316,335,975,243,783,80,3350
24265,Elín Jónsdóttir,I-Women,10244,1547,109,1129,65,2822,320,1321,240,1414,79,3558
28132,Heidi Coffman,I-Women,10250,1548,102,2584,66,2633,293,2338,244,651,88,2044
24315,Kara-lee Mackinnon,I-Women,10258,1549,105,1819,67,2460,284,2739,246,459,83,2781
50397,Dee King Raub,I-Women,10262,1550,105,1819,72,1690,278,3139,241,1152,85,2462
55490,andye razmus,I-Women,10277,1551,117,328,60,4558,392,219,240,1414,78,3758
12662,Ariana Sorenson,I-Women,10278,1552,102,2584,62,3630,311,1656,244,651,90,1757
53826,Kassandra Aveni,I-Women,10281,1553,106,1604,66,2633,326,1134,241,1152,78,3758
20183,Aline LaBar,I-Women,10288,1554,98,3908,68,2289,343,817,242,962,86,2312
11353,Adriana Galera,I-Women,10296,1555,100,3270,65,2822,303,1970,240,1414,104,820
22440,Cynthia Arangua,I-Women,10297,1556,108,1271,81,823,310,1699,231,5551,102,953
3901,Brooke Parrish,I-Women,10299,1557,107,1420,68,2289,297,2217,240,1414,82,2959
13661,brandi newman,I-Women,10301,1558,107,1420,71,1846,306,1863,240,1414,78,3758
27096,Michelle Fontaine,I-Women,10302,1559,114,540,62,3630,291,2406,240,1414,86,2312
65818,Nellanna Kurylo,I-Women,10304,1560,115,467,60,4558,310,1699,240,1414,87,2166
27757,Maria Sorg,I-Women,10308,1561,101,2921,67,2460,296,2240,240,1414,98,1273
52194,Kelli Hirayama,I-Women,10313,1562,107,1420,60,4558,293,2338,243,783,99,1214
37851,Malin Contreras Tittonen,I-Women,10317,1563,112,702,62,3630,286,2625,240,1414,89,1946
13144,Tiffany Dicks,I-Women,10324,1564,92,6096,90,159,322,1252,244,651,87,2166
47866,jessi nemens,I-Women,10329,1565,116,387,60,4558,279,3017,240,1414,102,953
53245,Paula Moore,I-Women,10329,1565,109,1129,72,1690,293,2338,240,1414,78,3758
23871,Jessica Relei,I-Women,10334,1567,102,2584,60,4558,309,1742,242,962,110,488
26837,Jasmine Hatch,I-Women,10334,1567,109,1129,70,1993,296,2240,240,1414,79,3558
5089,Jaime Knutson,I-Women,10334,1567,103,2314,65,2822,315,1472,240,1414,86,2312
2366,Jennifer Broxterman,I-Women,10356,1570,104,2074,65,2822,257,4475,248,320,107,665
26319,Carrie Chamberlain,I-Women,10359,1571,98,3908,78,1040,296,2240,240,1414,90,1757
15469,Miriam Nourcy,I-Women,10365,1572,104,2074,62,3630,303,1970,241,1152,94,1539
26755,Rachel Davis,I-Women,10365,1572,104,2074,72,1690,291,2406,240,1414,83,2781
2080,Michelle Montgomery,I-Women,10366,1574,110,963,60,4558,308,1787,240,1414,92,1644
5837,Krista Howard,I-Women,10368,1575,107,1420,63,3316,290,2436,241,1152,88,2044
11298,Carly Neilson,I-Women,10368,1575,106,1604,69,2133,290,2436,240,1414,83,2781
9429,Heather Peterson,I-Women,10372,1577,92,6096,90,159,351,659,240,1414,88,2044
60417,Tiffany Shumate,I-Women,10376,1578,98,3908,80,907,301,2103,240,1414,88,2044
30034,Stina Andersson,I-Women,10386,1579,109,1129,64,3065,294,2316,240,1414,85,2462
37064,Emily Linney,I-Women,10388,1580,94,5284,73,1558,328,1088,240,1414,101,1044
40630,Bridget Waitkus,I-Women,10411,1581,99,3645,92,95,310,1699,240,1414,79,3558
15097,Rachel Gassert,I-Women,10414,1582,108,1271,62,3630,308,1787,240,1414,86,2312
39080,Meghan McNally,I-Women,10422,1583,93,5693,87,465,309,1742,240,1414,100,1108
25544,Rebekah Stephens,I-Women,10424,1584,105,1819,60,4558,296,2240,240,1414,112,393
23851,Svetlana Sidilkovskaia,I-Women,10424,1584,103,2314,63,3316,308,1787,240,1414,93,1593
11089,Cynthia Boudreau,I-Women,10429,1586,102,2584,73,1558,265,4091,241,1152,101,1044
39801,Keidy Toomey,I-Women,10439,1587,104,2074,60,4558,320,1321,248,320,87,2166
39095,Cayley Gunn,I-Women,10442,1588,114,540,66,2633,288,2505,240,1414,80,3350
26685,Holly Deegan,I-Women,10463,1589,103,2314,62,3630,344,793,240,1414,86,2312
28300,Brandi Rush,I-Women,10476,1590,103,2314,69,2133,275,3310,242,962,90,1757
37461,Laura Dziak,I-Women,10477,1591,100,3270,63,3316,318,1390,242,962,94,1539
3838,Jessica Terrell,I-Women,10483,1592,98,3908,72,1690,307,1827,240,1414,92,1644
24851,Yvette Schreiber,I-Women,10483,1592,104,2074,68,2289,314,1551,240,1414,81,3155
33912,Rene Garcia,I-Women,10486,1594,108,1271,60,4558,348,724,241,1152,83,2781
72423,Mary Whitlock,I-Women,10488,1595,103,2314,73,1558,288,2505,241,1152,82,2959
16914,Melissa wills,I-Women,10495,1596,91,6563,76,1224,341,855,250,209,92,1644
